count,faces,points
50,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[122.6546689606773, 184.57143829679976], [257.5323534239768, 184.57143829679976], [257.5323534239768, 304.2637331229904], [122.6546689606773, 304.2637331229904], [156.7194418724978, 155.9230969091069], [320.68344042207013, 155.9230969091069], [320.68344042207013, 308.1758076336737]]"
51,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[128.20068420941158, 189], [201.39794737176533, 189], [201.39794737176533, 298.39886326014806], [128.20068420941158, 298.39886326014806], [188.14801294778633, 158.99427043694692], [319.9796111245321, 158.99427043694692], [319.9796111245321, 302.431478933723]]"
52,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[126.98640741635481, 185.22695343665956], [210.4030674917788, 185.22695343665956], [210.4030674917788, 297.79197402534635], [126.98640741635481, 297.79197402534635], [162.3197900158053, 159.60113673985194], [321.200707110558, 159.60113673985194], [321.200707110558, 315.6126417297515]]"
53,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[131.79421857172147, 195], [205, 195], [205, 300.0171886891592], [131.79421857172147, 300.0171886891592], [173.5323677359065, 161], [322.80783405651323, 161], [322.80783405651323, 311.4848525697373]]"
54,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[125.19386501644249, 185], [202.60372880004388, 185], [202.60372880004388, 299.40454695940775], [125.19386501644249, 299.40454695940775], [179.73305194531795, 160.99427043694692], [319.200661308265, 160.99427043694692], [319.200661308265, 312.25390834287145]]"
55,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[129.9932037081774, 189], [200.19898513645586, 189], [200.19898513645586, 301.1793781593883], [129.9932037081774, 301.1793781593883], [178, 154.7747853361872], [320.6071269459552, 154.7747853361872], [320.6071269459552, 312.0515660674775]]"
56,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[136, 186], [204, 186], [204, 303], [136, 303], [181, 157.18510772244136], [321.80953312946883, 157.18510772244136], [321.80953312946883, 311.456135958782]]"
57,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[132.1972860635003, 183], [204, 183], [204, 301.79770358839943], [132.1972860635003, 301.79770358839943], [180, 158.99427043694695], [324.6088718212038, 158.99427043694695], [324.6088718212038, 320.4733017160445]]"
58,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[128.79594054582367, 183], [203, 183], [203, 293.3816516390922], [128.79594054582367, 293.3816516390922], [178, 159.1851077224414], [325.20920247533627, 159.1851077224414], [325.20920247533627, 312.8492696558769]]"
59,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[127, 182], [203.00169907295566, 182], [203.00169907295566, 294.39308783330165], [127, 294.39308783330165], [176, 152.9828113108408], [326.0050972188669, 152.9828113108408], [326.0050972188669, 311.6641619334356]]"
60,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[126.39287305404486, 180], [206, 180], [206, 295.2022505478072], [126.39287305404486, 295.2022505478072], [175, 155.98854087389387], [321.4047665647345, 155.98854087389387], [321.4047665647345, 310.86645834503616]]"
61,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[132.1955869905446, 182], [201, 182], [201, 300.60115967174863], [132.1955869905446, 300.60115967174863], [173, 155.3816745709889], [318.20575852713205, 155.3816745709889], [318.20575852713205, 306.44469976457253]]"
62,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[122.79251949876584, 182], [212.80441300945546, 182], [212.80441300945546, 294.4046386869945], [122.79251949876584, 294.4046386869945], [175, 153.98854087389387], [318.6054278729996, 153.98854087389387], [318.6054278729996, 311.05156606747755]]"
63,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[126.39287305404486, 177], [200, 177], [200, 300], [126.39287305404486, 300], [179, 159.1965668485475], [320.804390108309, 159.1965668485475], [320.804390108309, 308.64699617617316]]"
64,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[122.79421857172147, 181], [201, 181], [201, 301.80911685071214], [122.79421857172147, 301.80911685071214], [174, 155.38167457098888], [320.8077882542203, 155.38167457098888], [320.8077882542203, 310.45613595878194]]"
65,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[129.99490278113308, 182], [205, 182], [205, 301.1965209847541], [129.99490278113308, 301.1965209847541], [178, 151.78051489924025], [323.00509721886704, 151.78051489924025], [323.00509721886704, 316.06302519358366]]"
66,"[[0, 1, 2, 3], [0, 4, 5, 1], [1, 5, 6, 2]]","[[126.39457212700054, 180], [209.20068420941158, 180], [209.20068420941158, 297.61261879785474], [126.39457212700054, 297.61261879785474], [178, 154.79197402534635], [323.00849536477824, 154.79197402534635], [323.00849536477824, 313.4675721529914]]"
