count,faces,points,x-range,y-range
600,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 293], [131, 102], [308, 339], [308, 147], [319, 394], [319, 200], [140, 347], [140, 154]]",188,292
601,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 293], [131, 102], [308, 339], [308, 147], [319, 394], [319, 200], [140, 347], [140, 154]]",188,292
602,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 293], [131, 102], [308, 339], [308, 147], [319, 394], [319, 200], [140, 347], [140, 154]]",188,292
603,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 292], [131, 106], [308, 339], [308, 151], [319, 394], [319, 205], [140, 347], [140, 159]]",188,288
604,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 293], [131, 107], [308, 339], [308, 152], [319, 394], [319, 206], [140, 347], [140, 160]]",188,287
605,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 293], [131, 104], [308, 339], [308, 149], [319, 394], [319, 202], [140, 347], [140, 156]]",188,290
606,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 293], [131, 109], [308, 339], [308, 154], [319, 390], [319, 203], [140, 343], [140, 157]]",188,281
607,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[138, 295], [138, 110], [308, 339], [308, 153], [319, 394], [319, 206], [148, 349], [148, 162]]",181,284
608,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[136, 291], [136, 109], [308, 336], [308, 153], [319, 390], [319, 206], [146, 345], [146, 162]]",183,281
609,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 288], [131, 106], [308, 334], [308, 151], [319, 389], [319, 204], [140, 342], [140, 158]]",188,283
610,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[144, 287], [144, 110], [311, 330], [311, 152], [322, 385], [322, 206], [154, 341], [154, 162]]",178,275
611,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[146, 314], [146, 129], [313, 314], [313, 129], [323, 346], [323, 161], [156, 346], [156, 161]]",177,217
612,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[146, 313], [146, 127], [313, 313], [313, 127], [323, 346], [323, 159], [156, 346], [156, 160]]",177,219
613,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[146, 310], [146, 124], [313, 310], [313, 124], [323, 342], [323, 156], [156, 342], [156, 157]]",177,218
614,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[146, 309], [146, 124], [311, 309], [311, 123], [321, 341], [321, 156], [156, 341], [156, 156]]",175,218
615,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[145, 307], [145, 122], [309, 307], [309, 121], [319, 339], [319, 154], [155, 339], [155, 154]]",174,218
616,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[144, 285], [144, 112], [308, 311], [308, 138], [324, 344], [324, 171], [159, 318], [159, 145]]",180,232
617,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[142, 264], [142, 100], [306, 318], [306, 154], [323, 356], [323, 191], [159, 302], [159, 138]]",181,256
