count,points
100,"[{""x"": 148.139, ""y"": 230.915}, {""x"": 181.451, ""y"": 205.174}, {""x"": 204.164, ""y"": 192.303}, {""x"": 240.505, ""y"": 188.517}, {""x"": 238.233, ""y"": 167.319}, {""x"": 253.375, ""y"": 168.076}, {""x"": 253.375, ""y"": 180.189}, {""x"": 292.744, ""y"": 169.59}, {""x"": 319.243, ""y"": 180.189}, {""x"": 341.956, ""y"": 255.142}, {""x"": 332.114, ""y"": 327.823}, {""x"": 302.587, ""y"": 333.88}, {""x"": 196.593, ""y"": 358.864}, {""x"": 153.438, ""y"": 333.88}, {""x"": 142.839, ""y"": 264.984}, {""x"": 148.139, ""y"": 231.672}]"
101,"[{""x"": 335.899, ""y"": 246.057}, {""x"": 328.328, ""y"": 197.603}, {""x"": 311.672, ""y"": 174.132}, {""x"": 258.675, ""y"": 177.161}, {""x"": 245.047, ""y"": 174.89}, {""x"": 237.476, ""y"": 189.274}, {""x"": 204.921, ""y"": 195.331}, {""x"": 177.666, ""y"": 210.473}, {""x"": 155.71, ""y"": 218.801}, {""x"": 144.353, ""y"": 249.842}, {""x"": 145.868, ""y"": 294.511}, {""x"": 159.495, ""y"": 339.937}, {""x"": 192.808, ""y"": 351.293}, {""x"": 200.379, ""y"": 358.864}, {""x"": 236.719, ""y"": 353.565}, {""x"": 268.517, ""y"": 345.237}, {""x"": 310.158, ""y"": 331.609}, {""x"": 332.871, ""y"": 323.281}, {""x"": 339.685, ""y"": 289.968}, {""x"": 334.385, ""y"": 240.757}]"
102,"[{""x"": 334.385, ""y"": 257.413}, {""x"": 333.628, ""y"": 212.744}, {""x"": 320, ""y"": 180.189}, {""x"": 293.502, ""y"": 172.618}, {""x"": 255.647, ""y"": 182.461}, {""x"": 239.748, ""y"": 174.89}, {""x"": 239.748, ""y"": 189.274}, {""x"": 216.278, ""y"": 198.36}, {""x"": 198.864, ""y"": 196.088}, {""x"": 184.479, ""y"": 208.959}, {""x"": 171.609, ""y"": 215.773}, {""x"": 155.71, ""y"": 225.615}, {""x"": 148.139, ""y"": 240}, {""x"": 146.625, ""y"": 264.984}, {""x"": 145.868, ""y"": 296.025}, {""x"": 153.438, ""y"": 323.281}, {""x"": 160.252, ""y"": 338.423}, {""x"": 182.965, ""y"": 355.836}, {""x"": 204.921, ""y"": 363.407}, {""x"": 240.505, ""y"": 355.079}, {""x"": 304.858, ""y"": 340.694}, {""x"": 333.628, ""y"": 324.038}, {""x"": 336.656, ""y"": 289.211}, {""x"": 335.142, ""y"": 252.87}]"
103,"[{""x"": 236.719, ""y"": 194.574}, {""x"": 204.164, ""y"": 201.388}]"
104,"[{""x"": 336.656, ""y"": 247.571}, {""x"": 326.057, ""y"": 199.874}, {""x"": 307.886, ""y"": 177.918}, {""x"": 254.89, ""y"": 187.003}, {""x"": 244.29, ""y"": 174.132}, {""x"": 242.019, ""y"": 189.274}, {""x"": 217.035, ""y"": 199.874}, {""x"": 185.994, ""y"": 208.959}, {""x"": 176.909, ""y"": 218.044}, {""x"": 157.981, ""y"": 225.615}, {""x"": 150.41, ""y"": 248.328}, {""x"": 145.11, ""y"": 279.369}, {""x"": 150.41, ""y"": 325.552}, {""x"": 161.767, ""y"": 350.536}, {""x"": 193.565, ""y"": 358.864}, {""x"": 204.164, ""y"": 369.464}, {""x"": 320, ""y"": 336.151}, {""x"": 337.413, ""y"": 319.495}, {""x"": 340.442, ""y"": 286.183}, {""x"": 335.142, ""y"": 243.785}]"
105,"[{""x"": 337.413, ""y"": 258.927}, {""x"": 328.328, ""y"": 210.473}, {""x"": 311.672, ""y"": 181.703}, {""x"": 273.06, ""y"": 180.189}, {""x"": 253.375, ""y"": 183.218}, {""x"": 240.505, ""y"": 177.918}, {""x"": 241.262, ""y"": 193.06}, {""x"": 217.035, ""y"": 202.145}, {""x"": 204.164, ""y"": 200.631}, {""x"": 177.666, ""y"": 210.473}, {""x"": 175.394, ""y"": 221.073}, {""x"": 157.981, ""y"": 230.915}, {""x"": 146.625, ""y"": 249.085}, {""x"": 144.353, ""y"": 276.341}, {""x"": 147.382, ""y"": 310.41}, {""x"": 158.738, ""y"": 349.779}, {""x"": 192.808, ""y"": 364.164}, {""x"": 212.492, ""y"": 364.921}, {""x"": 248.833, ""y"": 355.836}, {""x"": 274.574, ""y"": 347.508}, {""x"": 307.886, ""y"": 338.423}, {""x"": 338.17, ""y"": 326.309}, {""x"": 339.685, ""y"": 293.754}, {""x"": 335.899, ""y"": 251.356}]"
106,"[{""x"": 321.514, ""y"": 180.946}, {""x"": 251.861, ""y"": 183.218}, {""x"": 242.019, ""y"": 177.161}, {""x"": 232.934, ""y"": 191.546}, {""x"": 195.079, ""y"": 208.202}, {""x"": 161.767, ""y"": 224.858}, {""x"": 141.325, ""y"": 254.385}, {""x"": 148.896, ""y"": 325.552}, {""x"": 164.795, ""y"": 355.836}, {""x"": 205.678, ""y"": 370.221}, {""x"": 328.328, ""y"": 329.338}, {""x"": 342.713, ""y"": 297.539}, {""x"": 323.028, ""y"": 180.189}]"
107,"[{""x"": 336.656, ""y"": 249.085}, {""x"": 323.028, ""y"": 196.088}, {""x"": 304.858, ""y"": 175.647}, {""x"": 250.347, ""y"": 184.732}, {""x"": 237.476, ""y"": 179.432}, {""x"": 237.476, ""y"": 192.303}, {""x"": 204.921, ""y"": 209.716}, {""x"": 177.666, ""y"": 220.315}, {""x"": 155.71, ""y"": 230.915}, {""x"": 142.839, ""y"": 267.256}, {""x"": 145.868, ""y"": 305.11}, {""x"": 158.738, ""y"": 344.479}, {""x"": 163.281, ""y"": 355.836}, {""x"": 189.022, ""y"": 361.136}, {""x"": 205.678, ""y"": 367.192}, {""x"": 271.546, ""y"": 348.265}, {""x"": 328.328, ""y"": 330.095}, {""x"": 339.685, ""y"": 305.11}, {""x"": 335.142, ""y"": 243.786}]"
108,"[{""x"": 334.385, ""y"": 249.842}, {""x"": 326.057, ""y"": 205.174}, {""x"": 312.429, ""y"": 182.461}, {""x"": 289.716, ""y"": 177.161}, {""x"": 262.461, ""y"": 180.189}, {""x"": 251.104, ""y"": 185.489}, {""x"": 239.748, ""y"": 176.404}, {""x"": 238.991, ""y"": 193.817}, {""x"": 214.763, ""y"": 201.388}, {""x"": 194.322, ""y"": 204.416}, {""x"": 180.694, ""y"": 216.53}, {""x"": 161.009, ""y"": 225.615}, {""x"": 148.139, ""y"": 246.814}, {""x"": 145.868, ""y"": 271.041}, {""x"": 147.382, ""y"": 314.953}, {""x"": 159.495, ""y"": 345.237}, {""x"": 165.552, ""y"": 358.107}, {""x"": 189.779, ""y"": 359.621}, {""x"": 208.707, ""y"": 370.978}, {""x"": 328.328, ""y"": 328.58}, {""x"": 339.685, ""y"": 297.539}, {""x"": 332.871, ""y"": 242.271}]"
109,"[{""x"": 334.385, ""y"": 237.729}, {""x"": 319.243, ""y"": 183.218}, {""x"": 298.801, ""y"": 174.132}, {""x"": 250.347, ""y"": 183.218}, {""x"": 243.533, ""y"": 171.104}, {""x"": 234.448, ""y"": 177.161}, {""x"": 236.719, ""y"": 192.303}, {""x"": 204.164, ""y"": 204.416}, {""x"": 186.751, ""y"": 207.445}, {""x"": 176.151, ""y"": 220.315}, {""x"": 154.953, ""y"": 228.644}, {""x"": 147.382, ""y"": 246.814}, {""x"": 141.325, ""y"": 268.013}, {""x"": 153.438, ""y"": 329.338}, {""x"": 156.467, ""y"": 352.05}, {""x"": 214.763, ""y"": 368.707}, {""x"": 335.142, ""y"": 326.309}, {""x"": 341.199, ""y"": 278.612}, {""x"": 333.627, ""y"": 237.729}]"
