count,points
0,"[{""x"": 196.412, ""y"": 231.229}, {""x"": 191.628, ""y"": 154.684}, {""x"": 195.615, ""y"": 130.764}, {""x"": 201.993, ""y"": 93.289}, {""x"": 215.548, ""y"": 78.14}, {""x"": 249.834, ""y"": 66.977}, {""x"": 295.282, ""y"": 72.558}, {""x"": 320.797, ""y"": 98.073}, {""x"": 332.757, ""y"": 226.445}, {""x"": 320, ""y"": 250.365}, {""x"": 324.784, ""y"": 329.302}, {""x"": 318.405, ""y"": 342.857}, {""x"": 302.458, ""y"": 356.412}, {""x"": 259.402, ""y"": 364.385}, {""x"": 217.94, ""y"": 356.412}, {""x"": 205.98, ""y"": 326.113}, {""x"": 201.196, ""y"": 295.017}, {""x"": 195.615, ""y"": 280.664}, {""x"": 196.412, ""y"": 242.392}]"
1,"[{""x"": 197.209, ""y"": 231.229}, {""x"": 192.425, ""y"": 163.455}, {""x"": 200.399, ""y"": 114.02}, {""x"": 211.561, ""y"": 78.937}, {""x"": 250.631, ""y"": 64.585}, {""x"": 290.498, ""y"": 71.761}, {""x"": 323.189, ""y"": 98.073}, {""x"": 332.757, ""y"": 228.04}, {""x"": 320, ""y"": 257.542}, {""x"": 322.392, ""y"": 298.206}, {""x"": 329.568, ""y"": 333.289}, {""x"": 307.243, ""y"": 355.615}, {""x"": 258.605, ""y"": 365.98}, {""x"": 217.143, ""y"": 358.804}, {""x"": 202.791, ""y"": 314.153}, {""x"": 198.007, ""y"": 285.449}, {""x"": 198.804, ""y"": 244.784}]"
10,"[{""x"": 198.007, ""y"": 212.093}, {""x"": 201.196, ""y"": 152.292}, {""x"": 208.372, ""y"": 116.412}, {""x"": 217.94, ""y"": 84.518}, {""x"": 260.997, ""y"": 65.382}, {""x"": 315.216, ""y"": 80.532}, {""x"": 335.947, ""y"": 104.452}, {""x"": 335.947, ""y"": 224.053}, {""x"": 320, ""y"": 254.352}, {""x"": 318.405, ""y"": 301.395}, {""x"": 326.379, ""y"": 330.897}, {""x"": 310.432, ""y"": 355.615}, {""x"": 258.605, ""y"": 361.993}, {""x"": 209.169, ""y"": 352.425}, {""x"": 204.385, ""y"": 307.774}, {""x"": 197.209, ""y"": 282.259}, {""x"": 198.804, ""y"": 220.864}]"
11,"[{""x"": 199.601, ""y"": 210.498}, {""x"": 204.385, ""y"": 151.495}, {""x"": 210.764, ""y"": 110.033}, {""x"": 222.724, ""y"": 78.14}, {""x"": 272.159, ""y"": 66.977}, {""x"": 313.621, ""y"": 80.532}, {""x"": 323.189, ""y"": 94.884}, {""x"": 340.731, ""y"": 113.223}, {""x"": 335.947, ""y"": 224.053}, {""x"": 323.189, ""y"": 259.934}, {""x"": 321.595, ""y"": 301.395}, {""x"": 324.784, ""y"": 336.478}, {""x"": 314.419, ""y"": 355.615}, {""x"": 301.661, ""y"": 361.196}, {""x"": 251.429, ""y"": 369.967}, {""x"": 213.156, ""y"": 357.209}, {""x"": 202.791, ""y"": 312.558}, {""x"": 196.412, ""y"": 283.056}, {""x"": 200.399, ""y"": 220.864}]"
12,"[{""x"": 199.601, ""y"": 205.714}, {""x"": 205.183, ""y"": 151.495}, {""x"": 221.927, ""y"": 89.302}, {""x"": 241.86, ""y"": 75.748}, {""x"": 281.728, ""y"": 71.761}, {""x"": 315.216, ""y"": 82.924}, {""x"": 340.731, ""y"": 113.223}, {""x"": 343.123, ""y"": 144.319}, {""x"": 336.744, ""y"": 228.04}, {""x"": 322.392, ""y"": 256.744}, {""x"": 320, ""y"": 295.017}, {""x"": 324.784, ""y"": 330.1}, {""x"": 316.811, ""y"": 355.615}, {""x"": 304.85, ""y"": 362.791}, {""x"": 249.834, ""y"": 368.372}, {""x"": 209.169, ""y"": 354.817}, {""x"": 201.196, ""y"": 310.963}, {""x"": 198.007, ""y"": 285.449}, {""x"": 199.601, ""y"": 217.674}]"
13,"[{""x"": 200.399, ""y"": 217.674}, {""x"": 205.98, ""y"": 154.684}, {""x"": 217.94, ""y"": 121.196}, {""x"": 228.306, ""y"": 87.708}, {""x"": 268.97, ""y"": 73.355}, {""x"": 323.987, ""y"": 88.505}, {""x"": 345.515, ""y"": 116.412}, {""x"": 335.947, ""y"": 253.555}, {""x"": 319.203, ""y"": 263.92}, {""x"": 318.405, ""y"": 318.14}, {""x"": 329.568, ""y"": 340.465}, {""x"": 317.608, ""y"": 362.791}, {""x"": 296.877, ""y"": 366.777}, {""x"": 249.834, ""y"": 369.967}, {""x"": 208.372, ""y"": 350.831}, {""x"": 208.372, ""y"": 314.153}, {""x"": 198.804, ""y"": 282.259}, {""x"": 203.588, ""y"": 224.85}]"
14,"[{""x"": 201.993, ""y"": 219.269}, {""x"": 207.575, ""y"": 164.252}, {""x"": 217.94, ""y"": 121.196}, {""x"": 228.306, ""y"": 90.1}, {""x"": 245.847, ""y"": 78.937}, {""x"": 278.538, ""y"": 74.95}, {""x"": 319.203, ""y"": 86.113}, {""x"": 343.92, ""y"": 113.223}, {""x"": 350.299, ""y"": 139.535}, {""x"": 342.326, ""y"": 253.555}, {""x"": 322.392, ""y"": 266.312}, {""x"": 320, ""y"": 321.329}, {""x"": 327.973, ""y"": 345.249}, {""x"": 317.608, ""y"": 361.196}, {""x"": 302.458, ""y"": 365.183}, {""x"": 250.631, ""y"": 372.359}, {""x"": 209.169, ""y"": 353.223}, {""x"": 201.993, ""y"": 307.774}, {""x"": 201.993, ""y"": 283.854}, {""x"": 198.804, ""y"": 231.229}]"
15,"[{""x"": 205.183, ""y"": 221.661}, {""x"": 209.967, ""y"": 157.076}, {""x"": 220.332, ""y"": 121.993}, {""x"": 230.698, ""y"": 81.329}, {""x"": 268.97, ""y"": 74.95}, {""x"": 292.89, ""y"": 75.748}, {""x"": 323.189, ""y"": 87.708}, {""x"": 351.894, ""y"": 121.196}, {""x"": 354.286, ""y"": 145.116}, {""x"": 346.312, ""y"": 237.608}, {""x"": 341.528, ""y"": 254.352}, {""x"": 319.203, ""y"": 268.704}, {""x"": 324.784, ""y"": 346.844}, {""x"": 310.432, ""y"": 361.993}, {""x"": 295.282, ""y"": 368.372}, {""x"": 247.442, ""y"": 371.561}, {""x"": 208.372, ""y"": 352.425}, {""x"": 201.993, ""y"": 311.761}, {""x"": 198.804, ""y"": 285.449}, {""x"": 204.385, ""y"": 234.419}]"
16,"[{""x"": 207.575, ""y"": 215.282}, {""x"": 217.143, ""y"": 157.874}, {""x"": 221.13, ""y"": 138.738}, {""x"": 235.482, ""y"": 87.708}, {""x"": 249.834, ""y"": 78.937}, {""x"": 289.701, ""y"": 75.748}, {""x"": 329.568, ""y"": 98.073}, {""x"": 355.88, ""y"": 125.183}, {""x"": 347.907, ""y"": 243.987}, {""x"": 326.379, ""y"": 274.286}, {""x"": 324.784, ""y"": 342.857}, {""x"": 313.621, ""y"": 368.372}, {""x"": 297.674, ""y"": 376.346}, {""x"": 249.037, ""y"": 371.561}, {""x"": 209.169, ""y"": 353.223}, {""x"": 202.791, ""y"": 318.14}, {""x"": 198.804, ""y"": 285.449}, {""x"": 204.385, ""y"": 224.85}]"
17,"[{""x"": 207.575, ""y"": 200.93}, {""x"": 218.738, ""y"": 151.495}, {""x"": 237.076, ""y"": 102.857}, {""x"": 249.834, ""y"": 74.153}, {""x"": 292.89, ""y"": 72.558}, {""x"": 343.123, ""y"": 101.262}, {""x"": 358.272, ""y"": 127.575}, {""x"": 358.272, ""y"": 158.671}, {""x"": 345.515, ""y"": 253.555}, {""x"": 327.176, ""y"": 273.488}, {""x"": 321.595, ""y"": 314.95}, {""x"": 328.771, ""y"": 349.236}, {""x"": 320, ""y"": 365.183}, {""x"": 300.066, ""y"": 374.751}, {""x"": 252.226, ""y"": 372.359}, {""x"": 211.561, ""y"": 354.02}, {""x"": 204.385, ""y"": 334.884}, {""x"": 202.791, ""y"": 299.801}, {""x"": 199.601, ""y"": 276.678}, {""x"": 207.575, ""y"": 210.498}]"
