count,points
0,"[{""x"": 196.412, ""y"": 231.229}, {""x"": 191.628, ""y"": 154.684}, {""x"": 195.615, ""y"": 130.764}, {""x"": 201.993, ""y"": 93.289}, {""x"": 215.548, ""y"": 78.14}, {""x"": 249.834, ""y"": 66.977}, {""x"": 295.282, ""y"": 72.558}, {""x"": 320.797, ""y"": 98.073}, {""x"": 332.757, ""y"": 226.445}, {""x"": 320, ""y"": 250.365}, {""x"": 324.784, ""y"": 329.302}, {""x"": 318.405, ""y"": 342.857}, {""x"": 302.458, ""y"": 356.412}, {""x"": 259.402, ""y"": 364.385}, {""x"": 217.94, ""y"": 356.412}, {""x"": 205.98, ""y"": 326.113}, {""x"": 201.196, ""y"": 295.017}, {""x"": 195.615, ""y"": 280.664}, {""x"": 196.412, ""y"": 242.392}]"
1,"[{""x"": 197.209, ""y"": 231.229}, {""x"": 192.425, ""y"": 163.455}, {""x"": 200.399, ""y"": 114.02}, {""x"": 211.561, ""y"": 78.937}, {""x"": 250.631, ""y"": 64.585}, {""x"": 290.498, ""y"": 71.761}, {""x"": 323.189, ""y"": 98.073}, {""x"": 332.757, ""y"": 228.04}, {""x"": 320, ""y"": 257.542}, {""x"": 322.392, ""y"": 298.206}, {""x"": 329.568, ""y"": 333.289}, {""x"": 307.243, ""y"": 355.615}, {""x"": 258.605, ""y"": 365.98}, {""x"": 217.143, ""y"": 358.804}, {""x"": 202.791, ""y"": 314.153}, {""x"": 198.007, ""y"": 285.449}, {""x"": 198.804, ""y"": 244.784}]"
10,"[{""x"": 198.007, ""y"": 212.093}, {""x"": 201.196, ""y"": 152.292}, {""x"": 208.372, ""y"": 116.412}, {""x"": 217.94, ""y"": 84.518}, {""x"": 260.997, ""y"": 65.382}, {""x"": 315.216, ""y"": 80.532}, {""x"": 335.947, ""y"": 104.452}, {""x"": 335.947, ""y"": 224.053}, {""x"": 320, ""y"": 254.352}, {""x"": 318.405, ""y"": 301.395}, {""x"": 326.379, ""y"": 330.897}, {""x"": 310.432, ""y"": 355.615}, {""x"": 258.605, ""y"": 361.993}, {""x"": 209.169, ""y"": 352.425}, {""x"": 204.385, ""y"": 307.774}, {""x"": 197.209, ""y"": 282.259}, {""x"": 198.804, ""y"": 220.864}]"
100,"[{""x"": 198.804, ""y"": 256.744}, {""x"": 193.223, ""y"": 194.551}, {""x"": 201.993, ""y"": 168.239}, {""x"": 233.09, ""y"": 151.495}, {""x"": 237.076, ""y"": 134.751}, {""x"": 300.066, ""y"": 116.412}, {""x"": 304.053, ""y"": 96.478}, {""x"": 315.216, ""y"": 96.478}, {""x"": 367.841, ""y"": 82.924}, {""x"": 396.545, ""y"": 92.492}, {""x"": 418.87, ""y"": 159.468}, {""x"": 425.249, ""y"": 243.987}, {""x"": 412.492, ""y"": 274.286}, {""x"": 331.96, ""y"": 305.382}, {""x"": 300.864, ""y"": 290.233}, {""x"": 272.159, ""y"": 298.206}, {""x"": 271.362, ""y"": 318.14}, {""x"": 257.01, ""y"": 320.532}, {""x"": 248.239, ""y"": 311.761}, {""x"": 217.94, ""y"": 302.193}, {""x"": 201.993, ""y"": 267.907}]"
101,"[{""x"": 198.048, ""y"": 255.093}, {""x"": 192.048, ""y"": 205.76}, {""x"": 198.714, ""y"": 171.76}, {""x"": 229.381, ""y"": 147.76}, {""x"": 237.381, ""y"": 133.093}, {""x"": 301.381, ""y"": 113.76}, {""x"": 304.714, ""y"": 97.093}, {""x"": 321.381, ""y"": 94.426}, {""x"": 370.048, ""y"": 83.093}, {""x"": 396.714, ""y"": 91.76}, {""x"": 419.381, ""y"": 150.426}, {""x"": 427.381, ""y"": 221.76}, {""x"": 416.048, ""y"": 267.093}, {""x"": 332.048, ""y"": 300.426}, {""x"": 310.048, ""y"": 291.76}, {""x"": 271.381, ""y"": 297.093}, {""x"": 273.381, ""y"": 317.76}, {""x"": 258.048, ""y"": 319.093}, {""x"": 249.381, ""y"": 307.76}, {""x"": 212.714, ""y"": 305.76}, {""x"": 204.048, ""y"": 266.426}]"
102,"[{""x"": 203.148, ""y"": 275.277}, {""x"": 193.814, ""y"": 201.277}, {""x"": 199.814, ""y"": 168.611}, {""x"": 228.481, ""y"": 147.944}, {""x"": 260.481, ""y"": 122.611}, {""x"": 295.814, ""y"": 112.611}, {""x"": 308.481, ""y"": 96.611}, {""x"": 365.814, ""y"": 81.277}, {""x"": 391.814, ""y"": 89.944}, {""x"": 419.814, ""y"": 163.944}, {""x"": 424.481, ""y"": 252.611}, {""x"": 399.148, ""y"": 279.277}, {""x"": 330.481, ""y"": 303.944}, {""x"": 301.148, ""y"": 289.277}, {""x"": 274.481, ""y"": 295.944}, {""x"": 270.481, ""y"": 323.277}, {""x"": 251.148, ""y"": 308.611}, {""x"": 222.481, ""y"": 307.277}, {""x"": 207.148, ""y"": 284.611}]"
103,"[{""x"": 212.359, ""y"": 297.409}, {""x"": 195.615, ""y"": 206.512}, {""x"": 198.804, ""y"": 180.997}, {""x"": 218.738, ""y"": 156.279}, {""x"": 247.442, ""y"": 138.738}, {""x"": 296.877, ""y"": 116.412}, {""x"": 306.445, ""y"": 93.289}, {""x"": 314.419, ""y"": 107.641}, {""x"": 332.757, ""y"": 90.897}, {""x"": 382.193, ""y"": 84.518}, {""x"": 410.897, ""y"": 115.615}, {""x"": 418.87, ""y"": 168.239}, {""x"": 425.249, ""y"": 234.419}, {""x"": 410.897, ""y"": 273.488}, {""x"": 331.96, ""y"": 305.382}, {""x"": 300.864, ""y"": 291.827}, {""x"": 274.551, ""y"": 296.611}, {""x"": 272.957, ""y"": 318.937}, {""x"": 253.821, ""y"": 318.14}, {""x"": 221.13, ""y"": 306.977}]"
104,"[{""x"": 202.133, ""y"": 255.092}, {""x"": 195.633, ""y"": 191.092}, {""x"": 203.133, ""y"": 168.592}, {""x"": 237.633, ""y"": 142.592}, {""x"": 297.133, ""y"": 114.592}, {""x"": 299.133, ""y"": 96.592}, {""x"": 312.133, ""y"": 99.592}, {""x"": 343.133, ""y"": 85.592}, {""x"": 381.633, ""y"": 82.592}, {""x"": 411.633, ""y"": 134.092}, {""x"": 427.133, ""y"": 212.592}, {""x"": 421.133, ""y"": 266.092}, {""x"": 325.633, ""y"": 306.592}, {""x"": 306.633, ""y"": 288.592}, {""x"": 279.633, ""y"": 298.092}, {""x"": 269.633, ""y"": 322.092}, {""x"": 249.633, ""y"": 310.092}, {""x"": 223.133, ""y"": 309.592}, {""x"": 204.633, ""y"": 264.092}]"
105,"[{""x"": 218.358, ""y"": 303.629}, {""x"": 197.024, ""y"": 204.296}, {""x"": 198.358, ""y"": 166.963}, {""x"": 233.691, ""y"": 142.296}, {""x"": 299.691, ""y"": 111.629}, {""x"": 298.358, ""y"": 94.963}, {""x"": 313.024, ""y"": 96.963}, {""x"": 367.024, ""y"": 78.963}, {""x"": 407.024, ""y"": 103.629}, {""x"": 423.024, ""y"": 181.629}, {""x"": 423.691, ""y"": 261.629}, {""x"": 335.024, ""y"": 301.629}, {""x"": 299.024, ""y"": 290.296}, {""x"": 274.358, ""y"": 298.296}, {""x"": 269.691, ""y"": 319.296}, {""x"": 234.358, ""y"": 309.629}]"
106,"[{""x"": 205.183, ""y"": 251.96}, {""x"": 195.615, ""y"": 168.239}, {""x"": 240.266, ""y"": 138.738}, {""x"": 294.485, ""y"": 118.007}, {""x"": 297.674, ""y"": 92.492}, {""x"": 309.635, ""y"": 100.465}, {""x"": 359.07, ""y"": 81.329}, {""x"": 394.153, ""y"": 85.316}, {""x"": 418.073, ""y"": 150.698}, {""x"": 426.047, ""y"": 242.392}, {""x"": 410.897, ""y"": 279.867}, {""x"": 327.176, ""y"": 305.382}, {""x"": 290.498, ""y"": 295.814}, {""x"": 265.781, ""y"": 302.99}, {""x"": 266.578, ""y"": 320.532}, {""x"": 244.252, ""y"": 309.369}, {""x"": 216.346, ""y"": 303.787}, {""x"": 205.98, ""y"": 264.718}]"
